Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),Coverage (%) Tryp_1hr_1:50_Rep1,Coverage (%) Tryp_1hr_1:50_Rep2,Coverage (%) Tryp_18hr_1:50_Rep1,Coverage (%) AspN_1hr_1:50_Rep1,Coverage (%) AspN_1hr_1:50_Rep2,Coverage (%) AspN_18hr_1:50_Rep1,Coverage (%) AspN_18hr_1:50_Rep2,Coverage (%) GluC_1hr_1:50_Rep1,Coverage (%) GluC_1hr_1:50_Rep2,Coverage (%) GluC_18hr_1:50_Rep1,Coverage (%) GluC_18hr_1:50_Rep2,Coverage (%) Trypsin_18hr_1:50_Rep2,Area Tryp_1hr_1:50_Rep1,Area Tryp_1hr_1:50_Rep2,Area Tryp_18hr_1:50_Rep1,Area AspN_1hr_1:50_Rep1,Area AspN_1hr_1:50_Rep2,Area AspN_18hr_1:50_Rep1,Area AspN_18hr_1:50_Rep2,Area GluC_1hr_1:50_Rep1,Area GluC_1hr_1:50_Rep2,Area GluC_18hr_1:50_Rep1,Area GluC_18hr_1:50_Rep2,Area Trypsin_18hr_1:50_Rep2,#Peptides,#Unique,#Spec Tryp_1hr_1:50_Rep1,#Spec Tryp_1hr_1:50_Rep2,#Spec Tryp_18hr_1:50_Rep1,#Spec AspN_1hr_1:50_Rep1,#Spec AspN_1hr_1:50_Rep2,#Spec AspN_18hr_1:50_Rep1,#Spec AspN_18hr_1:50_Rep2,#Spec GluC_1hr_1:50_Rep1,#Spec GluC_1hr_1:50_Rep2,#Spec GluC_18hr_1:50_Rep1,#Spec GluC_18hr_1:50_Rep2,#Spec Trypsin_18hr_1:50_Rep2,PTM,Avg. Mass,Description
1,42,P08238|HS90B_HUMAN,99.2,598.83,99,78,80,65,75,93,87,90,51,52,60,76,53,1.8467E10,2.3276E10,4.2994E10,9.517E9,1.2515E10,1.7089E10,9.2456E9,9.3806E8,4.492E8,5.2719E9,2.4078E9,1.2295E10,226,109,1709,1743,1589,982,1196,1481,926,229,277,674,1993,1580,Carbamidomethylation; Deamidation (NQ); Oxidation (M),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
4,73,P07900|HS90A_HUMAN,99.2,576.52,98,68,73,61,73,91,83,90,52,59,51,70,47,1.3573E10,1.7646E10,2.7192E10,5.8987E9,9.4634E9,1.1422E10,6.8972E9,7.5544E8,4.6693E8,4.2598E9,2.6177E9,9.7265E9,206,148,1296,1379,1248,586,868,1048,653,180,215,470,1567,1344,Carbamidomethylation; Deamidation (NQ); Oxidation (M),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
33,297,P21333|FLNA_HUMAN,99.2,570.59,87,52,60,56,38,43,35,37,7,14,23,39,37,3.7144E9,5.1416E9,1.0316E10,1.7902E9,2.3313E9,2.0212E9,2.0698E9,3.7193E8,2.4767E8,2.3229E9,1.0033E9,3.8425E9,274,259,419,452,488,295,281,272,261,68,98,305,853,491,Carbamidomethylation; Deamidation (NQ); Oxidation (M),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
47,402,P49327|FAS_HUMAN,99.2,563.63,83,60,65,56,22,31,26,31,0,2,5,13,28,7.2841E9,9.6536E9,1.7831E10,7.5493E8,1.2739E9,1.6111E9,1.6313E9,1.7555E7,1.5954E7,2.283E8,1.4554E8,5.6951E9,221,220,651,606,697,161,172,273,190,4,18,36,167,497,Carbamidomethylation; Deamidation (NQ); Oxidation (M),273424,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3
5,5,P06733|ENOA_HUMAN,99.2,557.08,100,79,86,69,81,79,81,72,73,67,73,78,35,3.4019E10,3.857E10,7.1038E10,1.5206E10,1.7166E10,2.3267E10,1.0044E10,3.2183E9,1.1628E9,2.4446E10,8.5876E9,1.9869E10,124,112,1114,958,1061,822,692,1122,397,290,235,877,2351,502,Carbamidomethylation; Deamidation (NQ); Oxidation (M),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
29,420,P12270|TPR_HUMAN,99.2,552.96,81,37,49,32,28,27,14,14,60,56,37,39,30,1.0791E9,2.0057E9,2.378E9,7.3591E8,6.8677E8,3.5802E8,2.6234E8,3.6032E9,1.4633E9,2.604E9,1.0486E9,1.3713E9,358,357,225,315,179,193,129,84,59,882,702,453,1071,278,Carbamidomethylation; Deamidation (NQ); Oxidation (M),267290,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3
60,337,Q9Y490|TLN1_HUMAN,99.2,548.88,86,48,56,51,32,32,28,21,22,22,26,35,29,1.7112E9,2.7278E9,4.7659E9,6.0755E8,7.4061E8,7.732E8,5.9661E8,2.9697E8,1.474E8,1.1118E9,5.5412E8,1.7382E9,247,228,307,329,372,183,149,177,104,133,112,174,606,286,Carbamidomethylation; Deamidation (NQ); Oxidation (M),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
140,508,Q14204|DYHC1_HUMAN,99.2,535.56,63,35,45,35,12,15,11,10,0,0,2,4,25,1.8451E9,2.5586E9,5.4426E9,3.666E8,5.4259E8,4.3007E8,4.0736E8,,9.0826E5,2.9875E7,3.1744E7,2.0415E9,320,320,336,380,354,105,131,86,78,0,4,13,46,383,Carbamidomethylation; Deamidation (NQ); Oxidation (M),532412,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5
104,608,P78527|PRKDC_HUMAN,99.2,535.40,61,37,40,35,16,16,15,12,0,1,1,2,23,3.2556E9,4.2087E9,8.3136E9,4.4738E8,7.8459E8,9.3528E8,8.3004E8,,3.0195E6,3.2278E7,4.1043E7,3.0557E9,283,283,381,401,456,107,149,140,135,0,4,7,38,417,Carbamidomethylation; Deamidation (NQ); Oxidation (M),469093,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3
23,14,P31948|STIP1_HUMAN,99.2,532.86,93,61,71,50,66,68,65,46,69,80,69,73,44,3.2845E9,4.7828E9,7.9102E9,1.9259E9,2.7778E9,2.8151E9,2.1939E9,6.02E9,2.3135E9,9.9633E9,2.6784E9,3.2347E9,176,176,312,336,265,344,326,335,235,760,527,617,1080,354,Carbamidomethylation; Deamidation (NQ); Oxidation (M),62639,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1
68,180,Q00610|CLH1_HUMAN,99.2,530.38,82,58,62,51,19,35,25,29,0,0,9,16,30,4.0654E9,5.4197E9,1.1042E10,5.4416E8,9.9037E8,1.0116E9,1.1734E9,,,6.4839E7,8.8363E7,4.008E9,174,142,475,508,558,116,144,172,143,0,0,27,125,503,Carbamidomethylation; Deamidation (NQ); Oxidation (M),191613,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5
20,111,P10809|CH60_HUMAN,99.2,530.25,94,76,75,71,76,68,79,73,77,80,61,77,34,7.5108E9,9.4341E9,1.5468E10,6.8125E9,6.2342E9,9.5191E9,4.9952E9,2.1487E9,1.0393E9,1.0746E10,3.4477E9,5.254E9,147,147,466,445,452,548,348,552,231,490,388,626,1414,207,Carbamidomethylation; Deamidation (NQ); Oxidation (M),61055,60 kDa heat shock protein  mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2
11,50,P04406|G3P_HUMAN,99.2,530.03,100,73,93,67,97,100,99,97,81,66,31,81,32,2.9048E10,3.4247E10,6.7285E10,1.18E10,1.5408E10,1.8624E10,2.056E10,7.6447E8,3.566E8,2.455E9,1.0111E9,1.5415E10,91,91,954,974,1066,821,645,1116,650,187,153,230,657,442,Carbamidomethylation; Deamidation (NQ); Oxidation (M),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
18,98,P13639|EF2_HUMAN,99.2,528.53,92,68,80,64,57,68,64,53,37,27,32,44,38,1.7225E10,2.0318E10,4.0221E10,7.1178E9,8.4351E9,1.2201E10,6.5916E9,2.5803E8,1.5024E8,1.3139E9,9.4285E8,1.3462E10,170,169,946,839,808,514,430,618,314,109,82,182,769,701,Carbamidomethylation; Deamidation (NQ); Oxidation (M),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
82,392,Q14315|FLNC_HUMAN,99.2,528.35,83,44,48,47,21,36,19,23,4,8,15,24,33,2.1172E9,3.1733E9,5.4062E9,4.4394E8,9.7129E8,5.3877E8,9.1711E8,2.4472E7,4.5198E7,7.0839E8,4.7517E8,2.0863E9,232,214,317,338,345,101,147,96,125,10,35,125,475,392,Carbamidomethylation; Deamidation (NQ),291020,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3
34,204,P35579|MYH9_HUMAN,99.2,527.06,84,50,56,40,39,34,33,18,48,45,30,23,28,9.1677E8,2.0282E9,1.9344E9,8.2957E8,7.6975E8,8.1208E8,2.9415E8,3.0254E9,1.2264E9,2.1641E9,1.014E9,8.1202E8,342,291,242,338,207,235,155,187,66,711,537,348,853,205,Carbamidomethylation; Deamidation (NQ); Oxidation (M),226530,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4
9,58,P68371|TBB4B_HUMAN,99.2,525.45,97,84,85,80,85,83,82,82,33,55,40,62,35,2.2236E8,4.7064E8,5.0819E8,1.1043E8,5.8472E7,4.924E7,3.092E7,4.7583E7,2.427E7,,4.3336E7,3.4761E8,103,7,1175,1065,1170,782,703,1063,704,57,106,250,810,805,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49831,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1
