Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),Coverage (%) Tryp_1hr_Rep1,Coverage (%) Tryp_1hr_Rep2,Coverage (%) Tryp_1hr_Rep3,Coverage (%) Tryp_18hr_Rep1,Coverage (%) Tryp_18hr_Rep2,Coverage (%) Tryp_18hr_Rep3,Coverage (%) AspN_1hr_Rep1,Coverage (%) AspN_1hr_Rep2,Coverage (%) AspN_1hr_Rep3,Coverage (%) AspN_18hr_Rep1,Coverage (%) AspN_18hr_Rep2,Coverage (%) AspN_18hr_Rep3,Coverage (%) Gluc_1hr_Rep1,Coverage (%) GluC_1hr_Rep2,Coverage (%) GluC_1hr_Rep3,Coverage (%) Gluc_18hr_Rep1,Coverage (%) GluC_18hr_Rep2,Coverage (%) GluC_18hr_Rep3,Area Tryp_1hr_Rep1,Area Tryp_1hr_Rep2,Area Tryp_1hr_Rep3,Area Tryp_18hr_Rep1,Area Tryp_18hr_Rep2,Area Tryp_18hr_Rep3,Area AspN_1hr_Rep1,Area AspN_1hr_Rep2,Area AspN_1hr_Rep3,Area AspN_18hr_Rep1,Area AspN_18hr_Rep2,Area AspN_18hr_Rep3,Area Gluc_1hr_Rep1,Area GluC_1hr_Rep2,Area GluC_1hr_Rep3,Area Gluc_18hr_Rep1,Area GluC_18hr_Rep2,Area GluC_18hr_Rep3,#Peptides,#Unique,#Spec Tryp_1hr_Rep1,#Spec Tryp_1hr_Rep2,#Spec Tryp_1hr_Rep3,#Spec Tryp_18hr_Rep1,#Spec Tryp_18hr_Rep2,#Spec Tryp_18hr_Rep3,#Spec AspN_1hr_Rep1,#Spec AspN_1hr_Rep2,#Spec AspN_1hr_Rep3,#Spec AspN_18hr_Rep1,#Spec AspN_18hr_Rep2,#Spec AspN_18hr_Rep3,#Spec Gluc_1hr_Rep1,#Spec GluC_1hr_Rep2,#Spec GluC_1hr_Rep3,#Spec Gluc_18hr_Rep1,#Spec GluC_18hr_Rep2,#Spec GluC_18hr_Rep3,PTM,Avg. Mass,Description
1,21,P08238|HS90B_HUMAN,99.2,415.33,99,77,78,81,69,56,69,76,93,85,86,91,84,54,58,54,60,70,17,1.6488E10,1.9591E10,6.5938E9,3.8332E10,1.2109E10,5.6044E9,9.675E9,1.5414E10,4.2078E9,1.8312E10,1.5612E10,3.4316E9,8.3207E8,4.1464E8,6.2698E8,5.2264E9,2.6799E9,1.8195E7,486,205,1659,1671,1269,1605,1587,1057,1046,1640,800,1777,1703,1081,249,230,403,705,2147,49,Carbamidomethylation; Deamidation (NQ); Oxidation (M),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
3,2,P07900|HS90A_HUMAN,99.2,403.71,98,68,69,74,62,51,60,74,94,82,84,92,84,47,43,51,56,62,14,1.1164E10,1.503E10,4.5857E9,2.0513E10,8.0753E9,3.1329E9,6.0047E9,1.0795E10,2.5711E9,1.1744E10,1.244E10,2.1302E9,4.3992E8,2.5987E8,3.9266E8,3.6918E9,2.1631E9,1.7971E7,415,235,1274,1300,963,1254,1358,831,606,1053,635,1220,1258,835,179,170,260,479,1599,36,Carbamidomethylation; Deamidation (NQ); Oxidation (M),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
26,36,P21333|FLNA_HUMAN,99.2,400.22,88,51,60,50,54,36,50,37,41,39,33,46,47,7,13,20,23,45,4,3.6742E9,5.1189E9,1.6236E9,1.013E10,3.695E9,1.6767E9,1.7605E9,2.3428E9,6.4784E8,1.9894E9,2.8331E9,4.648E8,3.6045E8,2.4674E8,2.1329E8,2.2514E9,1.0369E9,2.4193E6,342,318,397,440,375,460,477,358,280,287,205,248,365,225,65,95,127,293,825,9,Carbamidomethylation; Deamidation (NQ); Oxidation (M),280737,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4
29,38,P49327|FAS_HUMAN,99.2,392.51,91,59,64,62,57,30,62,23,40,25,29,53,49,0,2,5,5,12,0,7.2165E9,9.6392E9,3.2323E9,1.797E10,5.7464E9,3.3991E9,7.4365E8,1.4629E9,3.0089E8,1.6997E9,2.899E9,5.609E8,1.7555E7,1.4062E7,3.1515E7,2.283E8,1.4123E8,,344,344,605,588,596,689,482,633,159,206,120,284,413,248,4,16,24,30,145,0,Carbamidomethylation; Deamidation (NQ); Oxidation (M),273424,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3
2,16,P07437|TBB5_HUMAN,99.2,381.50,100,86,85,86,83,60,83,89,87,84,88,89,82,61,61,56,62,64,20,6.6762E9,7.4988E9,3.3071E9,1.6561E10,1.7456E9,3.0809E9,1.2327E9,3.271E9,1.0576E9,4.0492E9,3.8647E9,1.2691E9,1.8935E8,1.0291E8,1.0553E8,1.7276E9,9.791E8,4.839E6,348,55,1356,1183,1062,1526,1059,995,887,917,607,1334,1196,803,122,139,227,492,1453,40,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49671,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2
11,61,P68363|TBA1B_HUMAN,99.2,379.90,100,82,94,92,87,52,92,84,86,82,84,96,96,37,38,55,53,59,17,,,,,,,1.5507E9,1.1301E9,6.0101E8,3.2993E9,8.108E7,3.9534E8,,,,,,,294,8,854,832,659,1060,557,631,653,716,520,942,857,644,70,77,123,306,764,11,Carbamidomethylation; Deamidation (NQ); Oxidation (M),50152,Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1
6,20,P04406|G3P_HUMAN,99.2,378.33,100,79,91,92,75,41,73,99,100,100,99,99,100,97,84,87,74,87,49,2.9356E10,3.444E10,1.2005E10,7.048E10,1.5975E10,1.256E10,1.2496E10,1.7241E10,4.4193E9,2.0828E10,2.8109E10,5.3314E9,2.0448E9,7.0424E8,8.4716E8,4.9155E9,2.5193E9,7.4165E7,321,321,954,966,807,1098,455,682,896,777,479,1297,1039,651,313,229,262,418,1322,68,Carbamidomethylation; Deamidation (NQ); Oxidation (M),36053,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3
5,30,P68371|TBB4B_HUMAN,99.2,376.57,97,86,85,86,82,58,83,85,85,82,82,85,81,57,61,56,62,61,8,2.2236E8,4.7064E8,1.4093E8,5.0819E8,3.4323E8,8.4142E7,1.1196E8,1.7971E8,3.9036E7,4.7532E7,4.6374E8,5.8866E7,3.6674E7,1.5925E7,1.5547E7,1.1305E8,6.3271E7,,315,13,1191,1054,964,1317,840,886,805,821,550,1111,1097,711,62,104,192,416,1192,35,Carbamidomethylation; Deamidation (NQ); Oxidation (M),49831,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1
4,11,P11142|HSP7C_HUMAN,99.2,376.05,97,61,70,63,54,47,63,88,87,84,86,79,79,32,33,68,58,79,21,2.1095E10,2.4417E10,9.3289E9,5.1601E10,1.6932E10,6.8998E9,1.5088E10,1.5989E10,4.2799E9,2.1681E10,1.7338E10,3.908E9,4.3923E9,1.9681E9,1.2023E9,1.1017E10,5.1766E9,1.8868E8,321,225,1067,843,674,1051,1452,676,999,881,531,1291,953,510,336,171,253,636,1995,30,Carbamidomethylation; Deamidation (NQ); Oxidation (M),70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
71,153,Q9Y490|TLN1_HUMAN,99.2,375.28,89,47,55,51,49,29,54,31,33,36,32,46,40,20,17,20,26,37,2,1.6759E9,2.7346E9,1.0827E9,4.5939E9,1.6972E9,1.0556E9,5.3519E8,7.5944E8,2.7494E8,8.0621E8,1.0612E9,2.553E8,2.7634E8,1.3031E8,1.7068E8,1.1282E9,5.8088E8,5.5464E6,336,313,297,314,315,338,266,327,176,158,109,177,202,150,127,89,114,176,622,19,Carbamidomethylation; Deamidation (NQ); Oxidation (M),269765,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3
